title	author	rating	genres	genre	pages	num_awards	awards	numRatings	ratingsByStars	likedPercent	bbeScore	bbeVotes																																																										
The Hunger Games	Suzanne Collins	4.33	"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']"	YoungAdult	374	40	"['Locus Award Nominee for Best Young Adult Book (2009)', 'Georgia Peach Book Award (2009)', 'Buxtehuder Bulle (2009)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2009)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse √©tranger (2010)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010)"", ""Red House Children's Book Award for Older"						d for Young Adults	(2010	")"""", 'R"	hode Islan	d Teen	Book	Award	"(2010)',"	""""	"""Dor"	othy	Canfie	ld Fisher	Children's	Book	Award	(2010	")"""", 'Evergreen Teen Boo"	k Award (2	"011)',"	'Soaring	Eagle	Book Award (2	"009)',"	'M	ilwaukee	County	Teen	Book	Award	Nomi	"nee (2010)', '"	Sakura	Meda	l for	Middle	School B	ook	(2010)'	", 'Michigan Lib"	rary Associati	on T	humbs Up! Award	"(2009)',"	'F	"lorida Teens Read (2009)',"	'Deutscher Jugendliteraturpre	is	for	P	re	is	der	Jugen	dj	ury	(2010	")', 'Iowa High School Book Award (2011)', 'New Mexico Land of Enchantment Award for Young Adult (2011)', 'Eliot Rosewater Indiana High School Book Award (2010)', 'The Inky Awards for Silver Inky (2009)', 'California Young Readers Medal for Young Adult (2011)', 'Lincoln Award (2011)', 'Kinderboekwinkelprijs (2010)', 'Missouri Truman Readers Award (2011)', 'CYBILS Award for Young Adult Fantasy & Science Fiction (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Prix Et-lisez-moi (2011)', 'Missouri Gateway Readers Award (2011)', 'Oklahoma Sequoyah Award for High School and Intermediate (2011)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009)', """"Rebecca Caudill Young Readers' Book Award (2011)"""", 'LovelyBooks Leserpreis for Fantasy (2009)', 'LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009)', 'Premi Protagonista Jove for Categoria 13-14 anys (2010)']"",6376780,""['3444695', '1921313', '745221', '171994', '93557']"",96,2993816,30516"
Harry Potter and the Order of the Phoenix	"J.K. Rowling, Mary GrandPr√© (Illustrator)"	4.5	"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']"	Fantasy	870	8	"['Bram Stoker Award for Works for Young Readers (2003)', 'Anthony Award for Young Adult (2004)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Audie Award for Audiobook of the Year (2004)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)', 'Colorado Blue Spruce Young Adult Book Award (2006)', 'Golden Archer Award for Middle/Junior High (2005)', 'Deutscher"																																																															
To Kill a Mockingbird	Harper Lee	4.28	"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']"	Classics	324	3	"['Pulitzer Prize for Fiction (1961)', 'Audie Award for Classic (2007)', 'National Book Award Finalist for Fiction (1961)', 'Alabama Author Award for Fiction (1961)']"	4501075	"['2363896', '1333153', '573280', '149952', '80794']"	95	2269402	23328																																																										
Pride and Prejudice	"Jane Austen, Anna Quindlen (Introduction)"	4.26	"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Historical Romance', 'Classic Literature', 'Adult']"	Classics	279		[]	2998241	"['1617567', '816659', '373311', '113934', '76770']"	94	1983116	20452																																																										
Twilight	Stephenie Meyer	3.6	"['Young Adult', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Teen', 'Urban Fantasy']"	YoungAdult	501	24	"['Georgia Peach Book Award (2007)', 'Buxtehuder Bulle (2006)', 'Kentucky Bluegrass Award for 9-12 (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008)"", 'Garden State Book Award for Fiction (Grades 9-12) (2008)', 'South Carolina Book Award for Young Adult Book Award (2008)', 'Grand Canyon Reader"						"Award (2007)"""", """	"""Penns"	ylvania	Young Rea	ders' C	hoice	Awar	d for You	ng	Adu	lt (2	"009)"""""	", 'Rhode"	Island Teen	Book	Award	(2007	")', 'Evergreen Teen Book"	Award (20	"08)',"	'Michigan	Libra	ry Association	Thumbs	U	p! Award	Nomine	e (20	"06)',"	'Teen	Read	Award Nominee	for B	est A	ll-Ti	me-Fave	"(2010)',"	'D	eutscher	Jugendliteratu	rpreis Nominee	for	Preis der Juge	ndjury (20	7	")', 'Iowa High School Book"	"Award (2008)', 'Eliot Rosewat"	er	Ind	ia	na	H	igh	School	B	ook	Award	"(2008)', 'Lincoln Award (2008)', 'Literaturpreis der Jury der jungen Leser for Cover (2007)', 'Prix Et-lisez-moi (2008)', 'Missouri Gateway Readers Award (2008)']"",4964519,""['1751460', '1113682', '1008686', '542017', '548674']"",78,1459448,14874"
The Book Thief	Markus Zusak (Goodreads Author)	4.37	"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']"	HistoricalFiction	552	19	"['National Jewish Book Award for Children‚Äôs and Young Adult Literature (2006)', ""Book Sense Book of the Year Award for Children's Literature (2007)"", 'Buxtehuder Bulle (2008)', 'Sydney Taylor Book Award for Teen Readers (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', 'Michael L. Printz Award Nominee (2007)', 'Exclusive Books Boeke Prize (2007)', 'Rhode Island Teen Book Award Nominee (2008)', 'Th"						"(2006)', 'Lincoln"	Award	Nomine	"e (2010)',"	'Austr	alian	Book	Industry	A	ward	(ABI	A) Nom	inee for	Literary Fi	ction	(2008	")', 'K"	"athleen Mitchell Award',"	'Ena Noel	Award	"(2008)',"	'Lite	raturpreis der	Jury d	er	jungen	Leser f	or Ju	gendb	uch (2	009)'	", 'LovelyBooks"	Leser	preis	for	Allgeme	ine Liter	atu	r (2009)	"', 'Margaret A."	Edwards Award	(20	"14)']"",1834276,"	"""['1048230"	"',"	"'524674', '186297', '4886"	"4', '26211']"",96,1372809,14168"											
Animal Farm	"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)"	3.95	"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'School', 'Science Fiction', 'Novels', 'Read For School']"	Classics	141	1	"['Prometheus Hall of Fame Award (2011)', 'Retro Hugo Award for Best Novella (1996)']"	2740713	"['986764', '958699', '545475', '165093', '84682']"	91	1276599	13264																																																										
The Chronicles of Narnia	"C.S. Lewis, Pauline Baynes (Illustrator)"	4.26	"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Science Fiction Fantasy', 'Middle Grade', 'Christian Fiction']"	Fantasy	767		[]	517740	"['254964', '167572', '74362', '15423', '5419']"	96	1238556	12949																																																										
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	J.R.R. Tolkien	4.6	"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']"	Fantasy	1728		[]	110146	"['78217', '22857', '6628', '1477', '967']"	98	1159802	12111																																																										
Gone with the Wind	Margaret Mitchell	4.3	"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War', 'Historical Romance', 'Novels']"	Classics	1037	1	"['Pulitzer Prize for Novel (1937)', 'National Book Award for Novel (1936)']"	1074620	"['602138', '275517', '133535', '39008', '24422']"	94	1087732	11211																																																										
The Fault in Our Stars	John Green (Goodreads Author)	4.21	"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']"	YoungAdult	313	27	"['Georgia Peach Book Award (2013)', 'Buxtehuder Bulle (2012)', 'Odyssey Award (2013)', 'Audie Award for Teens (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013)"", ""Pennsylvania Young Readers' Choice Award for Young Adults (2013)"", 'Rhode Island Teen Book Award (2014)', 'Evergreen Teen Book Award (2015)', 'Soaring Eagle Book Award (2014)', 'Milwaukee County Teen Book Award (2013)', 'Indies Choice"						"nky (2012)', 'Cali"	fornia	Young	Readers Me	dal for	Youn	g Adu	lt (2015)	"',"	'Li	ncoln	Award	"(2014)',"	'Luisterbo	ek Aw	ard (2	"015)',"	'Goodreads Choice Award	for Young	Adult	Fiction	-2012	and Nominee f	or Best	o	f the Be	st  (20	"18)',"	'Gre	en Mou	ntain	Book Award (2	"014)',"	'The	Inky	Awards	Shortlis	t f	or Silve	"r Inky (2012)',"	"""""Louisiana T"	een	Readers' Choice	"(2015)"""","	'	Missouri Gateway Readers A	"ward (2015)', 'Oklahoma Sequoy"	ah	Awa	rd	f	or	Hig	h Scho	ol	(2	"015)',"	"'Alabama Author Award for Young Adult (2013)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012)', 'FAB Award Nominee (2014)', 'Premi Protagonista Jove for Categoria 15-16 anys (2013)']"",3550714,""['1784471', '1022406', '512574', '150365', '80898']"",93,1087056,11287"
The Hitchhiker's Guide to the Galaxy	Douglas Adams	4.22	"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']"	ScienceFiction	193		[]	1436325	"['725771', '420864', '199846', '58326', '31518']"	94	1063601	10996																																																										
The Giving Tree	Shel Silverstein	4.37	"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']"	Childrens	64		[]	905731	"['556142', '204347', '94819', '27950', '22473']"	94	1021534	10594																																																										
Wuthering Heights	"Emily Bront√´, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Bront√´ (Commentary), Robert Heindel (Illustrator)"	3.86	"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical Fiction', '19th Century', 'Novels', 'Classic Literature', 'Historical']"	Classics	464		[]	1342664	"['483222', '413051', '279702', '107437', '59252']"	88	981502	10275																																																										
The Da Vinci Code	Dan Brown (Goodreads Author)	3.86	"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Historical Fiction', 'Adventure', 'Novels', 'Crime', 'Adult']"	Fiction	489	8	"['British Book Award for Book of the Year (2005)', 'Book Sense Book of the Year Award for Adult Fiction (2004)', ""Humo's Gouden Bladwijzer (2004)"", 'Zilveren Vingerafdruk (2004)', ""The Flume: New Hampshire Teen Reader's Choice Award (2006)"", 'Teen Buckeye Book Award (2005)', 'Iowa High School Book Award (2006)', 'Puddly Award for Fiction (2007)', 'Missouri Gateway Readers Award for Adult (2006)']"	1933446	"['645308', '667657', '399278',"																																																													
Memoirs of a Geisha	Arthur Golden	4.12	"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult', 'Novels', 'Asia', 'Adult Fiction']"	Fiction	503		[]	1717312	"['712950', '615702', '295184', '66518', '26958']"	95	862748	8993																																																										
The Picture of Dorian Gray	"Oscar Wilde, Jeffrey Eugenides (Introduction)"	4.08	"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', '19th Century', 'LGBT', 'Classic Literature']"	Classics	272		[]	966196	"['382985', '350778', '176188', '41869', '14376']"	94	861799	9096																																																										
Alice's Adventures in Wonderland & Through the Looking-Glass	"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)"	4.06	"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure', 'Novels', '19th Century', 'British Literature']"	Classics	239		[]	458299	"['183179', '155059', '91573', '21360', '7128']"	94	833791	8812																																																										
Jane Eyre	"Charlotte Bront√´, Michael Mason (Editor), Barnett Freedman (Illustrator)"	4.13	"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Gothic', 'Historical', '19th Century', 'School', 'Classic Literature']"	Classics	532		[]	1624682	"['746070', '501478', '256972', '76970', '43192']"	93	826759	8740																																																										
Les Mis√©rables	"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)"	4.18	"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature', 'Romance', 'Classic Literature']"	Classics	1463		[]	682793	"['332692', '202012', '100932', '29673', '17484']"	93	813088	8548																																																										
Fahrenheit 451	Ray Bradbury	3.99	"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']"	Classics	194	3	"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']"	1680139	"['612098', '604888', '331815', '91160', '40178']"	92	793757	8537																																																										
